Tên người nhận	Địa chỉ	Tên sản phẩm	Phân loại	Số lượng	Ngày đặt	Trạng thái	Mã vận đơn	Thông tin chi tiết đơn hàng	Thanh toán
bún bò tuan tu	bún bò tuan tu(tuantuctoi) 50/40, Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội	Thịt chua		2	14/04/2026	Giao thành Công	SPXVN063805010604	16:07:18 17 Apr 2026 Giao hàng thành công	Đã thanh toán
bún bò tuan tu	bánh kẹo long an(xtuannn), 50/40 Mễ Trì Thượng , Mễ Trì,  Phường Từ Liêm, Hà Nội	Thịt chua		2	15/04/2026	Giao thành Công	SPXVN066177844674	11:40:50 18 Apr 2026 Giao hàng thành công	Đã thanh toán
phở bò xíu	phở bò xíu(tuantrum), 50/40 Mễ Trì Thượng , Mễ Trì,  Phường Từ Liêm, Hà Nội	Thit chua ống nứa		1		Giao thành Công	SPXVN069836497634	11:54:03 23 Apr 2026 Giao hàng thành công	Đã thanh toán
nem nướng sapa	nem nướng sapa(tuanbeo), Ngõ 116 miếu đầm , Mễ Trì,  Phường Từ Liêm, Hà Nội	Vòi nước 	31	2	21/04/2026	Giao thành Công	SPXVN062736593754	11:58:37 23 Apr 2026 Giao hàng thành công	Đã thanh toán
mì quảng tròn	mì quảng tròn(tuansat_thu), 50/40 Mễ Trì Thượng , Mễ Trì,  Phường Từ Liêm, Hà Nội	Thit chua ống nứa		1	22/04/2026	Giao thành Công	SPXVN062039718324	11:26:30 25 Apr 2026 Giao hàng thành công	Đã thanh toán
chè bưởi thơm	chè bưởi thơm(tuantutien), Ngõ 116 miếu đầm , Mễ Trì,  Phường Từ Liêm, Hà Nội	Thit chua ống nứa		1	23/04/2026	Bị hủy	SPXVN062493536794	15:42:35 28 Apr 2026 Đơn hàng sẽ được hoàn trả vì giao hàng không thành công	Đã thanh toán
xôi xéo vàng	xôi xéo vàng(tuan_hao_han), 50/40 Mễ Trì Thượng , Mễ Trì,  Phường Từ Liêm, Hà Nội	Thịt chua		2	24/04/2026	Giao thành Công	SPXVN063535085204	11:24:44 28 Apr 2026 Giao hàng thành công	Đã thanh toán
bánh mì giòn	bánh mì giòn(tuan_cool), Ngõ 116 miếu đầm , Mễ Trì,  Phường Từ Liêm, Hà Nội	Tất đá bóng	Đen, 3 đôi	1	25/04/2026	Bị hủy			Tự đặt
bánh đa cua	bánh đa cua(tuan_hai_huoc), 50/40 Mễ Trì Thượng , Mễ Trì,  Phường Từ Liêm, Hà Nội	Cứt két		1	29/04/2026	Chờ đặt			
café muối	café muối(tuan_ca_phe), Ngõ 116 miếu đầm , Mễ Trì,  Phường Từ Liêm, Hà Nội	Tất đá bóng	Đen, 3 đôi	1		Đang giao hàng	SPXVN065160075055	17:52:18 05 May 2026 Đơn hàng đã đến kho BN A Mega SOC	
